"platiba"	"julijs"	"junijs"	"nokrisni"	"teritorija"
4.3	23.3	17.8	13	"Latgale"
4.9	19.7	13.8	17	"Latgale"
6.1	17.8	19.9	6	"Latgale"
7	21.8	16.6	20	"Latgale"
10.9	16.2	15.1	49	"Latgale"
13	19.1	13.4	37	"Latgale"
13.5	22.4	17.2	40	"Latgale"
16.4	23.8	15.3	63	"Latgale"
18.7	21	16.5	67	"Latgale"
18.9	17.1	14.3	63	"Latgale"
18.9	13.6	20.6	48	"Latgale"
21.9	16.1	16.4	63	"Latgale"
22	20.5	12.9	82	"Latgale"
22.3	17.5	12.7	45	"Latgale"
23.8	18.4	18.4	71	"Latgale"
25.3	23	18.9	86	"Latgale"
25.4	20.5	16.2	70	"Latgale"
28.8	16.5	14.5	77	"Latgale"
29.1	18.7	15.6	82	"Latgale"
29.4	12.7	14.3	65	"Latgale"
29.6	20	16.9	75	"Latgale"
29.6	20	22.8	86	"Latgale"
30.4	15.4	15.6	77	"Latgale"
31.1	17.8	17.5	59	"Latgale"
31.5	17.3	16.7	68	"Latgale"
31.5	17.4	15.8	93	"Zemgale"
32.8	16.4	20.5	86	"Zemgale"
33.2	20.5	17.3	80	"Zemgale"
33.7	19	18.4	82	"Zemgale"
33.9	18.7	14.3	78	"Zemgale"
34	12.7	14.7	101	"Zemgale"
34.1	16.5	21	98	"Zemgale"
34.2	19.8	11.9	88	"Zemgale"
34.4	13.9	14.8	86	"Zemgale"
34.8	18.4	21.5	101	"Zemgale"
35.5	17.8	18.1	107	"Zemgale"
35.7	17.7	16.2	98	"Zemgale"
36.7	16.5	17	83	"Zemgale"
37	22.6	17.1	91	"Zemgale"
37.1	15.1	15.4	99	"Zemgale"
37.4	15	16.5	105	"Zemgale"
39	15.2	18.2	92	"Zemgale"
41.3	20.6	13.2	120	"Zemgale"
41.9	14.8	15.1	93	"Zemgale"
42.1	16	16	108	"Zemgale"
43.5	18.2	15.4	94	"Zemgale"
43.7	21.7	16.6	118	"Zemgale"
45.9	16.9	15.9	103	"Zemgale"
47.1	17.6	13.2	113	"Zemgale"
50.6	16.1	13.7	100	"Zemgale"
