"grupa"	"pH"	"skaits"
"kontrole"	6.26	2
"kontrole"	6.8	10
"kontrole"	6.79	5
"kontrole"	6.52	6
"kontrole"	6.08	5
"kontrole"	6.21	4
"kontrole"	6.47	2
"kontrole"	6.74	2
"kontrole"	6.71	5
"kontrole"	6.11	3
"kontrole"	6.19	2
"kontrole"	7.2	6
"kontrole"	7.92	4
"kontrole"	5.69	4
"kontrole"	7.31	5
"kontrole"	7.05	7
"kontrole"	7.11	5
"kontrole"	6.38	8
"kontrole"	7.04	5
"kontrole"	7.21	2
"kontrole"	6.84	2
"kontrole"	7.07	3
"kontrole"	5.91	4
"kontrole"	5.62	6
"kontrole"	6.64	3
"kontrole"	6.88	8
"kontrole"	6.83	4
"kontrole"	7.15	3
"kontrole"	6.65	4
"kontrole"	6.8	5
"kontrole"	6.56	10
"kontrole"	6.64	4
"kontrole"	6.61	1
"kontrole"	6.1	9
"kontrole"	6.76	2
"kontrole"	6.32	7
"kontrole"	7.17	6
"kontrole"	7.12	4
"kontrole"	6.31	8
"kontrole"	5.93	5
"kontrole"	5.46	7
"kontrole"	6.13	6
"kontrole"	7.24	0
"kontrole"	6.48	2
"kontrole"	7.45	5
"kontrole"	6.32	2
"kontrole"	6.91	7
"kontrole"	7.7	8
"kontrole"	7.22	5
"kontrole"	6.09	5
"kontrole"	7.06	7
"kontrole"	5.85	4
"kontrole"	7.32	4
"kontrole"	6.61	6
"kontrole"	7.3	5
"kontrole"	6.52	7
"kontrole"	6.95	10
"kontrole"	6.9	4
"kontrole"	7.04	5
"kontrole"	6.86	10
"kontrole"	6.74	6
"kontrole"	5.9	2
"kontrole"	7.27	7
"kontrole"	7.6	6
"kontrole"	6.98	8
"kontrole"	6.62	3
"kontrole"	6.44	2
"kontrole"	7.05	5
"kontrole"	6.65	8
"kontrole"	7.52	6
"kontrole"	6.56	6
"kontrole"	7.17	4
"kontrole"	6.66	6
"kontrole"	6.99	0
"kontrole"	6.73	8
"kontrole"	5.93	4
"kontrole"	6.97	4
"kontrole"	6.57	3
"kontrole"	6.73	9
"kontrole"	6.85	2
"kontrole"	6.24	9
"kontrole"	7.23	6
"kontrole"	6.58	3
"kontrole"	6.47	3
"kontrole"	7.46	5
"kontrole"	7.48	4
